Sample Skill,Similar Skills
resource planning,quality management(0.9585569500923157),project governance(0.9526103138923645),pmp(0.9513676166534424),risk management(0.9491813778877258),product planning(0.9490450620651245)
stakeholder management,quality management(0.9887827634811401),team leadership(0.9871073961257935),process management(0.9862723350524902),project planning(0.9852937459945679),process improvement(0.9828939437866211)
risk management,iso(0.9906395077705383),lean manufacturing(0.987166702747345),rfp(0.9857422113418579),reengineering(0.9853506088256836),cost management(0.9852149486541748)
conflict management,lean(0.9780023097991943),quality control(0.9773632884025574),pmi(0.9744241833686829),process improvement(0.9737541675567627),digital solutions(0.97211754322052)
hp - qtp,software deployment(0.8083274364471436),aut(0.8017888069152832),technical documentation.(0.7781615257263184),msc - it(0.7720821499824524),vulnerabilities.(0.7693795561790466)
uft,appium(0.9794109463691711),qtp(0.9790806174278259),selenium web driver(0.9732357859611511),test automation tools(0.9677290916442871),selenium webdriver(0.9655316472053528)
qtp,automation frameworks(0.9800617098808289),selenium ide(0.9793392419815063),selenium webdriver(0.9792773723602295),uft(0.9790805578231812),scripts(0.9766488075256348)
sharepoint,ms visio(0.896622359752655),ms project(0.8798068761825562),visio(0.8681625723838806),planview(0.852616548538208),teamviewer(0.8523393869400024)
hp - alm,test manager(0.9882268905639648),rational robot(0.9865829348564148),defect tracking tool(0.9833227396011353),load runner(0.9783757925033569),test link(0.9770165681838989)
quality center,alm(0.9854623079299927),hp alm(0.978731095790863),hp quality center(0.9733237624168396),qc(0.9646866321563721),test management(0.9639212489128113)
alm,hp alm(0.9891067743301392),quality center(0.9854623675346375),bug tracking(0.976747453212738),hp quality center(0.9754623770713806),qc(0.9689136743545532)
tdm,erstudio(0.9685474038124084),ppmc(0.9678331613540649),wordperfect(0.9660276770591736),project server(0.9654633402824402),data modelling tools(0.9611738920211792)
unix.,powerbuilder(0.9506078958511353),control - m(0.9437978267669678),oracle enterprise manager(0.9426016211509705),plsql(0.9411675930023193),oracle databases(0.93974769115448)
ms access,vba(0.9136515259742737),visual basic(0.8933109045028687),korn shell(0.8885590434074402),macros.(0.8717888593673706),ms - access(0.8706598877906799)
db2,rdbms(0.981634259223938),sybase(0.9651023745536804),ms sql server(0.9599491357803345),my sql server(0.9563325047492981),oracle 11g(0.9560983777046204)
front end,responsive web(0.9531865119934082),web design(0.9433519840240479),bootstrap 3(0.9408522248268127),user interface design(0.9324331283569336),front end development.(0.9296778440475464)
visual basic 6.0,ms access.(0.9491854310035706),pega prpc(0.9397109150886536),sql 2000(0.9363440275192261),microsoft certified professional(0.9348687529563904),infopath(0.9326830506324768)
dot net,nhibernate(0.9944771528244019),asp. net(0.9902032017707825),c#(0.9880971312522888),d365(0.9874330163002014),. net(0.9851144552230835)
visual basic,vb(0.9529784321784973),"scripts , sql(0.9351714253425598)",ms sql(0.9198992252349854),ms sql server(0.9163828492164612),sybase iq(0.9092002511024475)
internet technologies,dhtml(0.8976672887802124),xml(0.8820551633834839),xslt(0.8714559674263),java script.(0.8694239258766174),dtd(0.8683050870895386)
vb script.,scraping(0.8291382193565369),selenium / webdriver(0.8065229654312134),salt - stack(0.7954105734825134),"ms office , outlook(0.7881433367729187)","java , api(0.7794039845466614)"
vb,vb script(0.9659578800201416),visual basic(0.9529784321784973),ms sql server(0.9218916296958923),access.(0.9158850908279419),microsoft sql server.(0.9126633405685425)
testing tools,apache poi(0.9651862382888794),postman(0.9503600597381592),bugzilla.(0.9485815763473511),soapui(0.9443709254264832),mantis(0.9439449310302734)
mercury,automated testing tools(0.9787684679031372),defect reporting(0.977777898311615),test management tool(0.9760252833366394),brew.(0.9739946722984314),hp - alm(0.9738573431968689)
win runner,hp qc(0.9792375564575195),clear quest(0.9783343076705933),test director(0.9731578230857849),fiddler(0.9622145295143127),hp quality center(0.9563356041908264)
test director,hp quality center(0.9786983132362366),load runner(0.9732638001441956),win runner(0.9731577038764954),clear quest(0.9700784683227539),hp qc(0.964515745639801)
hp alm,alm(0.9891067743301392),quality center(0.9787309765815735),bug tracking(0.9752618074417114),bug tracking tool(0.9679163098335266),hp quality center(0.9661454558372498)
load runner,qc(0.9851643443107605),hp - alm(0.9783757328987122),test director(0.9732640981674194),automated testing tools(0.9729859232902527),mercury(0.9695006608963013)
vsts,bug tracking tools(0.9520323276519775),clear quest(0.9329857230186462),wincvs(0.9308003187179565),fiddler(0.9279531240463257),team foundation server(0.9270827770233154)
soapui,apache poi(0.9771348834037781),testing framework(0.9560041427612305),soap ui(0.9545210599899292),testing tools(0.9443710446357727),cucumber(0.943710446357727)
aqt,investment management(0.9154869914054871),collaboration and stakeholder management(0.9078945517539978),database maintenance(0.9000840783119202),ticketing tools(0.8959992527961731),effective time management(0.892024040222168)
pvcs,job scheduling(0.978377103805542),valgrind(0.9744266271591187),ticketing(0.968372106552124),iseries(0.9669808745384216),ticketing tool(0.9559423923492432)
share point,visual basic 6(0.9619448184967041),private networks(0.9609611630439758),foxpro(0.9545834064483643),microsoft(0.954232931137085),others(0.9535674452781677)
ms project,microsoft project(0.9733954668045044),ms visio(0.9542032480239868),planview(0.9425379037857056),visio(0.9329178333282471),sharepoint.(0.9229821562767029)
eclipse ide,eclipse(0.952278733253479),ides(0.9376235008239746),intellij(0.9320375919342041),web / application(0.9202407002449036),rad(0.9168358445167542)
ms - office ( word,power point.(0.9839161038398743),auto cad(0.9740074276924133),mingle(0.9649541974067688),ms - office.(0.9632360339164734),good decision making(0.9620755314826965)
"excel , power point",powerpoint.(0.9843888878822327),ms word(0.9773762822151184),power point(0.9771068692207336),ms excel(0.967069149017334),excel(0.9607145190238953)
excel,powerpoint.(0.9799108505249023),power point(0.9768613576889038),powerpoint(0.976642906665802),"excel , powerpoint(0.9646741151809692)","excel , power point(0.96071457862854)"
power point,"excel , powerpoint.(0.9816477298736572)","excel , power point(0.9771068096160889)",excel(0.9768611788749695),microsoft office(0.9757772088050842),powerpoint.(0.9750515222549438)
informatica,informatica power center(0.9744706153869629),oltp(0.9652613997459412),etl(0.9583869576454163),data warehousing(0.9556564688682556),warehousing(0.9480355381965637)
business objects,design studio(0.9771853685379028),sfdc(0.9731108546257019),hcm(0.97015380859375),webi(0.9661489725112915),inv(0.9651877880096436)
data extraction,extraction(0.985529363155365),star schema(0.9828589558601379),oracle business intelligence(0.9798867106437683),elt(0.9795755743980408),data integration(0.9792672395706177)
excel.,ms excel.(0.9807958602905273),hlookup(0.9748245477676392),macros(0.974805474281311),maxl(0.9700822830200195),ensemble(0.9676864147186279)
extraction,data extraction(0.9855293035507202),slowly changing dimensions(0.9721872210502625),netezza(0.971422553062439),etl tool(0.9698962569236755),informatica powercenter(0.9683647155761719)
etl processes,informatica power center.(0.9917993545532227),tidal.(0.9887246489524841),power center.(0.9836100935935974),change data capture.(0.980980634689331),dts(0.9778598546981812)
data warehouses,obiee(0.9837018847465515),informatica power center.(0.9741086363792419),etl processes(0.9732527732849121),statspack(0.9723988175392151),awr(0.9719191789627075)
informatica power center.,etl processes(0.9917992949485779),power center.(0.988019585609436),olap(0.9807813167572021),tidal.(0.978907585144043),sql loader(0.9760485887527466)
power center.,informatica power center.(0.988019585609436),etl processes(0.9836100935935974),olap(0.9784155488014221),datawarehouse(0.9747425317764282),tidal.(0.9681610465049744)
informatica power center,informatica(0.9744706153869629),oltp(0.9660579562187195),data warehousing(0.9615296125411987),warehousing(0.9564188718795776),data warehouse(0.9533596038818359)
power center,informatica power center(0.9481015205383301),informatica(0.9440478086471558),data warehouse concepts(0.9324134588241577),etl(0.9301465749740601),data warehousing(0.9092808961868286)
java / j2ee,"j2ee , spring(0.9458291530609131)",collection framework(0.9426314234733582),j2ee.(0.9417520761489868),object - oriented(0.9360367059707642),lead teams(0.9335654377937317)
mapping,mvc architecture(0.9273900389671326),uml.(0.9248740077018738),ooad(0.9140034914016724),enterprise applications(0.9106730222702026),springmvc(0.9092004895210266)
positive outlook,sap ( mm(0.9585615396499634),work ethic(0.9547678232192993),customer situations(0.9442009925842285),customer service(0.9436978697776794),fax(0.9387230277061462)
result oriented,ethics(0.9416981935501099),technical background(0.9312306642532349),strategic thinking(0.9129387736320496),problem solving skills.(0.9116829633712769),documentation skills(0.9053821563720703)
good leadership qualities,self - confidence(0.9865525960922241),team oriented(0.9826616048812866),communication(0.9703797101974487),time management(0.9699817299842834),leadership skills(0.9697856307029724)
team spirit,self - confidence(0.980221152305603),good listener(0.9787654280662537),communication(0.9737803936004639),good leadership qualities(0.9691230058670044),leadership qualities(0.9677334427833557)
flexibility,integrity(0.969824492931366),honesty(0.9689975380897522),adaptability(0.951295018196106),mean stack(0.9449269771575928),self - confidence(0.9335145950317383)
leadership qualities,written communication(0.9769761562347412),communication(0.9753756523132324),good listener(0.9735365509986877),sincere(0.9697468280792236),team spirit(0.9677334427833557)
etl design,apd(0.9763596653938293),hfm(0.972493588924408),drm(0.9679684638977051),web analysis(0.9671093821525574),elt(0.965808629989624)
"oracle sql , pl / sql",sybase.(0.8834832310676575),data warehouse concepts(0.8732734322547913),informatica power center(0.8325452208518982),oracle pl(0.8314673900604248),google search appliance(0.8272311091423035)
oracle sql,11g(0.9780317544937134),sql developer(0.9700815677642822),oracle 11g(0.9686039090156555),oracle 10g / 11g(0.9669865369796753),powerbuilder(0.9592889547348022)
sql queries,stored procedures(0.9155842661857605),automation projects(0.8961073756217957),writing test cases(0.8901415467262268),backend testing(0.8799051642417908),gui(0.8790976405143738)
documentation,business processes(0.9155225157737732),product features(0.8919056057929993),agile processes(0.8847705125808716),life cycle management(0.8814582228660583),gap analysis(0.8794799447059631)
presentation skills,inter - personal(0.9765792489051819),organizational skills(0.9700018167495728),fast learner(0.9691773056983948),good organizational(0.9689667224884033),communicator(0.9667987823486328)
powerpoint.,"excel , power point(0.9843887090682983)",excel(0.9799109101295471),power point(0.9750515222549438),ms office ( word(0.9688677191734314),ms - word(0.9620979428291321)
project lifecycle.,play(0.8451442122459412),data integration tools(0.7882780432701111),emc greenplum(0.7875866889953613),pmd.(0.7297196388244629),planning process(0.7249425649642944)
ad,hubspot(0.9708698391914368),pricing(0.9693185687065125),ml(0.9672533869743347),quality checking(0.9654840230941772),ddr(0.9653482437133789)
sqlserver,postgresql(0.9273861050605774),squirrel(0.9088732004165649),shell script(0.9024466872215271),razor view engine(0.9010792374610901),java scripts(0.8890070915222168)
